ID	log2Fold	p	p.adj
ENSG00000200087	-1.6284623908	1.58526517821964E-006	0.0062628048
ENSG00000179023	2.9251429553	3.79919778804591E-007	0.0062628048
ENSG00000205683	-0.7862498208	1.15859434145186E-006	0.0062628048
ENSG00000064393	0.82979484	2.05866589528588E-006	0.0062628048
ENSG00000071909	1.3532150377	8.38295151205955E-007	0.0062628048
ENSG00000198363	0.6841252122	1.84843759615749E-006	0.0062628048
ENSG00000118096	-0.4202842053	2.46945089393041E-006	0.0064392696
ENSG00000170385	0.5704268032	3.38240346810732E-006	0.0077173763
ENSG00000198759	3.039933549	4.23692402002891E-006	0.0078433
ENSG00000130540	3.1842821875	4.66876603781911E-006	0.0078433
ENSG00000167272	-0.5552410859	4.72669150444256E-006	0.0078433
ENSG00000232977	-0.75078426	6.4536236357283E-006	0.0098164994
ENSG00000118785	3.435870016	1.02978896834916E-005	0.0144590293
ENSG00000186591	0.4217943331	1.11913821071979E-005	0.0145911641
ENSG00000160221	4.7363044707	2.04828058773556E-005	0.0249248437
ENSG00000164241	-0.7030321934	2.32824202025379E-005	0.026560876
ENSG00000134152	-0.3180445723	2.47646189417569E-005	0.026589917
ENSG00000150938	0.7357253788	2.72759373053254E-005	0.0276593158
ENSG00000078487	-0.4879175563	4.10835931568054E-005	0.0279532007
ENSG00000183742	0.6368460105	3.70523229867174E-005	0.0279532007
ENSG00000266402	-1.0968782393	4.48029187878209E-005	0.0279532007
ENSG00000010319	0.7603712095	3.66508281123508E-005	0.0279532007
ENSG00000214708	1.8174192415	4.42165216404232E-005	0.0279532007
ENSG00000091513	2.1819478063	3.96983299778801E-005	0.0279532007
ENSG00000149196	-0.4653938217	0.00003686	0.0279532007
ENSG00000129465	-0.4563081644	4.61044216588689E-005	0.0279532007
ENSG00000139629	0.6431066194	3.5912106095831E-005	0.0279532007
ENSG00000163291	0.6630860603	2.99421804151404E-005	0.0279532007
ENSG00000267934	1.0857153431	0.000032214	0.0279532007
ENSG00000138593	0.5199965184	0.000045159	0.0279532007
ENSG00000101194	-0.9724608944	4.74743450511571E-005	0.0279532007
ENSG00000149243	-0.8176563063	5.3368072618453E-005	0.0291846906
