ID	log2Fold	p	p.adj
ENSG00000198074	6.4341917616	4.42149964335948E-180	1.3182259036712E-175
ENSG00000115919	5.0581569718	3.29375452417072E-127	4.90999986918129E-123
ENSG00000124102	8.7834922791	8.44788177094806E-119	8.39550490396818E-115
ENSG00000188373	4.9478949368	3.67514745557787E-105	2.73927115601496E-101
ENSG00000135114	5.6744806027	9.2340610409411E-105	5.50608591749236E-101
ENSG00000134827	8.3751856133	1.4610994749685E-103	7.26020329111846E-100
ENSG00000134851	1.5301424743	3.2143141266899E-089	1.36902230533047E-085
ENSG00000136688	4.7384562262	9.40956846815269E-085	3.5067109288688E-081
ENSG00000092295	2.7789058889	3.71676772556274E-083	1.23124125522142E-079
ENSG00000140519	5.5936001867	2.9154941243896E-079	8.69225418245516E-076
ENSG00000163565	1.9042743933	2.28371724419583E-076	6.18970417440495E-073
ENSG00000085831	2.3262510545	5.44750004074228E-076	1.35343138512242E-072
ENSG00000153802	7.2145399741	1.58077692260069E-074	3.62532947464746E-071
ENSG00000113749	4.4938432863	1.08478743628684E-072	2.31013233038971E-069
ENSG00000244094	9.1809712834	1.50414628100711E-072	2.98964114812972E-069
ENSG00000165474	4.6152081598	4.52761540834673E-070	8.43664536152809E-067
ENSG00000093134	7.1585480615	1.74852857943197E-069	3.0665077098344E-066
ENSG00000176749	2.4701169609	3.22463757619663E-068	5.34107470537368E-065
ENSG00000159337	4.167264269	1.32831436400389E-067	2.08433497096906E-064
ENSG00000115361	-3.9947775903	2.40568110398713E-067	3.58614882171362E-064
ENSG00000153930	-3.3957963825	1.0960197858053E-066	1.55603494733329E-063
ENSG00000173083	2.9335538815	1.71329325929254E-065	2.32182387420672E-062
ENSG00000171711	10.3757383291	1.81950254367287E-064	2.35854994943751E-061
ENSG00000174808	-5.5031118545	2.38693594519653E-064	2.96517117792039E-061
ENSG00000185962	8.2777054662	1.16891019535281E-063	1.39399554256995E-060
ENSG00000185966	4.9565813224	2.18128524626948E-063	2.40862364193624E-060
ENSG00000139629	2.6025448774	2.1042392493368E-063	2.40862364193624E-060
ENSG00000105427	2.6676192728	1.57701908276255E-062	1.67918739048152E-059
ENSG00000253161	3.44173036	1.66136862200832E-060	1.7080015205709E-057
ENSG00000189182	-4.1055783812	5.11837847060746E-060	5.08664452408969E-057
ENSG00000065675	4.6907220886	1.19743318855427E-059	1.15162171237281E-056
ENSG00000172936	1.3399388496	2.5367851963858E-059	2.3634910576577E-056
ENSG00000163202	4.9785664464	1.45642869221711E-058	1.31581712211397E-055
ENSG00000146242	2.0304211573	1.87267948239327E-058	1.64211959082568E-055
ENSG00000167207	2.0844929111	1.94234797387481E-058	1.65454749980296E-055
ENSG00000149090	-2.6575386698	2.19142986415487E-057	1.81486916583092E-054
ENSG00000149573	2.5853343294	2.54652900020057E-057	2.05195177329675E-054
ENSG00000221963	2.9505813063	2.66726402737E-056	2.09267920294761E-053
ENSG00000203685	-2.3500703315	3.43722229582374E-055	2.62762424429972E-052
ENSG00000029153	2.2114328421	6.94127490602875E-055	5.17367925120853E-052
ENSG00000113356	1.9588995924	7.64518841606411E-055	5.55935725454965E-052
ENSG00000183479	2.4581709441	8.32566649355301E-055	5.91003382949499E-052
ENSG00000121316	2.0598097428	1.16068973805305E-054	8.0476288023985E-052
ENSG00000050730	7.5727055713	1.26703657124886E-054	8.58532462163945E-052
ENSG00000236543	-5.1393899211	1.5096574514219E-054	1.00019838348206E-051
ENSG00000162366	2.3435055704	2.25800935288108E-054	1.46348458362601E-051
ENSG00000111335	4.8530118105	1.36139451434265E-053	8.63587575544932E-051
ENSG00000184330	9.0560121306	2.15713970225885E-053	1.33985339756553E-050
ENSG00000163874	3.5349170156	8.64408051278729E-053	5.25948196751511E-050
ENSG00000025708	4.0369305888	4.25364031032889E-052	2.53636064424291E-049
ENSG00000163840	1.9890095516	7.01672396510225E-052	4.10189428030507E-049
ENSG00000167759	3.6145835382	1.02509222717145E-051	5.87732685786336E-049
ENSG00000138496	2.565374283	1.13993955302169E-051	6.41248261014879E-049
ENSG00000115415	2.5857049168	1.67941549878033E-051	9.27223957048828E-049
ENSG00000153292	7.7865106437	3.66130242690201E-051	1.96657589579209E-048
ENSG00000197641	2.8121029771	3.69384350185675E-051	1.96657589579209E-048
ENSG00000169299	1.6446523594	3.808610613867E-051	1.99210380424264E-048
ENSG00000057149	5.4266261727	1.15161567735143E-050	5.91970169044059E-048
ENSG00000077238	2.2056145797	1.36505795700573E-050	6.897938632232E-048
ENSG00000269741	3.3075768765	7.85248375115892E-050	3.90189917595087E-047
ENSG00000114251	2.9139047359	9.06656361879182E-050	4.43132012673212E-047
ENSG00000132357	3.2005871382	2.87850169997986E-049	1.38418789811612E-046
ENSG00000268416	-4.2402284149	5.16882037387179E-048	2.44608270835894E-045
ENSG00000100342	3.9137987294	1.33590163109839E-047	6.22321425461992E-045
ENSG00000143320	2.5679701282	2.58363485617333E-047	1.18505368618387E-044
ENSG00000172382	3.836904264	3.04201940725091E-047	1.37416313042089E-044
ENSG00000062096	4.0119898175	5.06873520045479E-047	2.2555115114382E-044
ENSG00000205413	4.0190103289	1.80099535590304E-046	7.89630522660193E-044
ENSG00000138642	3.9744780237	7.6623330684178E-046	3.31079417538852E-043
ENSG00000172243	3.0254079903	9.81207633004739E-046	4.17910348148618E-043
ENSG00000135063	-2.4665600398	1.03527268660704E-045	4.34727040542286E-043
ENSG00000100596	1.8816646293	1.33772625072065E-045	5.53930144985911E-043
ENSG00000234964	2.8703866299	1.41863402070174E-045	5.79385680728789E-043
ENSG00000227471	5.2585983513	1.49292718303052E-045	6.01488257227999E-043
ENSG00000141424	1.582873464	8.23839422792509E-045	3.27492647348478E-042
ENSG00000100433	4.484082471	6.16225424956784E-044	2.41738747627126E-041
ENSG00000169213	-3.8154747182	8.36004181541494E-044	3.23696476214001E-041
ENSG00000149043	-4.4427224434	9.72845019568168E-044	3.71851300171864E-041
ENSG00000251320	-3.5958554411	2.00826739169449E-043	7.57904860961767E-041
ENSG00000164687	2.894151766	2.22038031508212E-043	8.2748023392323E-041
ENSG00000144648	3.3780683412	2.58389000015885E-043	9.51062919317727E-041
ENSG00000163216	5.4187031342	4.37515034245405E-043	1.59074063792591E-040
ENSG00000100139	1.5110578546	5.33585878880822E-043	1.91666619192203E-040
ENSG00000064666	1.2060545207	1.11383208477079E-042	3.95330830659002E-040
ENSG00000120217	4.2945331325	1.36013180927772E-042	4.77070232491836E-040
ENSG00000204860	-3.1253595538	2.02185350383047E-042	7.00924887944206E-040
ENSG00000073067	-4.8875760226	2.09634380636309E-042	7.18395336125392E-040
ENSG00000099337	1.4570440863	2.66323758675319E-042	9.02292788766588E-040
ENSG00000140534	2.763028253	8.9732600993269E-042	3.00594131012733E-039
